177,177,177,177,243,242,177,177,177,177,242,177,242,177,242,177,243,177,177,178,264,264,264,244,264,264,264,264,267,266,264,198,182,177,177,177,177,177,177,177,177,243,177,177,177,177,177,177,242,177
177,177,177,177,242,177,177,177,242,177,177,177,177,177,177,242,177,177,243,178,264,266,265,268,264,264,264,244,266,265,244,244,176,177,177,177,177,177,177,177,242,177,177,177,177,177,177,177,243,177
177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,242,243,181,200,264,266,264,264,265,265,264,245,267,265,264,245,198,182,243,177,177,177,177,177,242,243,243,177,177,177,177,177,177,177
177,243,177,177,242,242,177,177,243,243,242,177,177,177,243,177,177,181,200,264,245,264,266,154,155,155,155,156,266,244,265,264,265,176,177,177,177,177,177,177,177,177,177,177,177,177,177,243,177,177
177,242,177,243,177,177,177,177,243,177,177,177,177,177,177,177,181,200,264,244,266,265,267,176,177,181,199,183,244,265,264,268,268,198,182,243,177,177,243,177,243,243,177,177,177,177,242,177,242,177
177,177,177,177,177,177,177,177,177,177,177,177,243,177,177,177,178,268,264,268,264,264,267,198,199,200,245,201,264,245,268,264,264,264,176,177,177,177,177,242,242,177,177,177,177,177,177,177,177,177
243,177,177,242,177,177,177,177,177,177,177,177,177,177,177,181,200,245,264,267,265,268,244,245,244,266,267,268,265,264,244,264,264,265,198,182,177,177,177,177,177,177,177,177,243,177,177,243,243,177
177,177,177,177,177,177,177,177,177,177,177,177,242,177,181,200,267,265,268,265,266,264,264,266,268,268,264,264,244,268,266,268,264,244,267,176,177,177,242,243,177,177,177,242,177,177,177,177,177,242
177,177,177,177,177,177,177,243,177,177,177,177,177,181,200,265,264,264,267,245,265,264,268,264,264,264,245,266,266,244,264,265,265,245,265,198,182,177,177,243,177,177,177,177,243,177,177,177,177,177
177,177,177,177,242,243,242,242,177,177,177,177,181,200,268,264,268,264,245,264,267,264,268,264,264,267,264,266,268,267,264,245,267,266,264,267,198,182,177,177,242,177,177,242,177,242,177,177,243,177
177,177,177,177,177,242,177,177,177,243,177,181,200,264,264,265,245,265,265,154,155,156,264,264,267,266,266,265,244,268,265,245,268,264,244,245,264,198,182,177,177,177,177,177,177,177,243,177,177,177
243,177,177,177,177,242,177,242,242,177,181,200,267,264,244,268,264,264,265,176,181,200,266,245,265,264,264,265,267,265,264,265,244,265,244,265,268,265,198,182,177,177,177,177,177,177,177,177,177,177
177,177,177,177,177,177,177,177,181,199,200,264,268,266,264,245,244,264,265,198,200,244,268,244,266,244,267,264,267,264,266,264,264,154,155,156,244,264,266,198,199,199,182,243,177,177,177,177,177,177
242,243,242,177,242,177,243,181,200,268,245,264,265,264,244,264,264,267,268,264,264,268,264,264,244,267,223,244,266,267,267,266,266,180,182,203,156,265,264,264,267,266,198,182,177,177,243,181,199,199
242,177,177,177,177,181,199,200,264,265,267,244,245,268,268,267,264,264,244,245,268,264,264,264,245,268,264,268,264,264,264,267,264,201,198,182,178,266,266,245,245,268,244,198,199,199,199,200,245,264
242,242,177,181,199,200,264,245,266,265,264,268,264,268,268,264,154,155,156,265,264,264,264,264,264,264,244,264,264,264,264,268,264,265,244,176,178,268,267,245,264,268,265,265,264,245,267,244,267,244
177,177,181,200,264,245,266,264,264,264,268,266,264,268,265,265,176,177,203,155,156,268,264,266,266,264,264,268,264,266,264,264,264,264,264,198,200,264,267,266,264,245,266,244,244,267,264,264,244,266
199,199,200,266,267,265,245,265,245,244,264,266,244,264,265,265,198,199,182,181,200,264,267,264,265,245,265,264,244,244,267,265,265,267,264,245,245,264,267,244,264,264,265,265,266,265,264,265,268,264
264,266,264,268,265,264,268,267,265,266,244,245,267,268,264,244,264,264,198,200,245,264,245,245,264,266,264,245,264,264,267,266,265,265,265,268,268,266,245,245,244,264,266,245,265,266,267,244,244,264
244,245,244,264,264,244,268,266,268,264,244,268,267,266,266,266,264,264,264,264,244,267,245,265,264,266,268,1610612872,1610612871,136,266,264,266,264,264,245,265,268,245,264,244,245,268,267,265,264,244,266,244,268
266,264,245,267,245,244,265,268,268,265,268,264,244,265,244,266,264,264,264,264,245,268,264,244,268,157,267,-1073741689,114,135,268,265,265,268,268,245,266,266,244,264,244,264,264,266,267,268,264,244,244,245
268,265,267,266,268,264,264,264,265,244,264,244,264,244,244,264,244,267,244,244,264,265,245,245,220,227,266,-1073741688,-1610612601,-1610612600,264,244,266,264,244,267,264,264,264,244,245,264,267,245,154,155,155,156,266,265
265,245,154,155,156,268,244,244,245,264,264,265,154,155,156,268,264,244,264,264,266,266,266,264,264,244,264,266,264,244,245,266,267,245,154,156,264,244,267,264,268,266,266,266,198,199,199,200,244,267
266,267,198,182,203,156,266,264,264,264,267,154,185,199,200,264,264,268,264,264,264,264,266,264,264,266,266,266,267,267,266,244,264,264,176,178,264,268,266,265,264,268,264,265,264,265,245,264,266,267
264,265,267,198,182,178,265,264,244,266,264,198,200,268,264,264,265,268,267,264,154,156,265,265,264,264,264,266,244,266,264,267,266,244,176,178,267,265,264,264,264,266,264,268,265,264,268,268,266,264
265,267,264,265,198,200,244,245,264,266,264,264,268,264,266,264,264,268,264,264,180,200,265,244,264,264,264,268,266,244,268,264,267,264,198,200,265,264,244,266,268,244,268,266,268,264,245,264,265,268
